"","nh","year","villid","thanaid","agehead","sexhead","educhead","famsize","hhland","hhasset","expfd","expnfd","exptot","dmmfd","dfmfd","weight","vaccess","pcirr","rice","wheat","milk","potato","egg","oil","village.id","ln.exptot","ln.lands","program.male","program.female"
"276",92035,1,2,9,20,1,9,3,756,442838.71875,5609.68994140625,3937.60986328125,9547.2998046875,0,0,3.56666660308838,1,0.939999997615814,9.6991024017334,6.76681566238403,6.76681566238403,6.56320381164551,1.69170391559601,40.6008949279785,92,9.16411876678467,2.14710021018982,1,1
"277",92045,1,2,9,45,1,0,4,153,121860.875,3606.03588867188,1085.39721679688,4691.43310546875,0,1,3.56666660308838,1,0.939999997615814,9.6991024017334,6.76681566238403,6.76681566238403,6.56320381164551,1.69170391559601,40.6008949279785,92,8.45370674133301,0.928219318389893,1,1
"278",92062,1,2,9,46,1,0,4,10,10490,3570.8486328125,570.4423828125,4141.291015625,1,0,0.25,1,0.939999997615814,9.6991024017334,6.76681566238403,6.76681566238403,6.56320381164551,1.69170391559601,40.6008949279785,92,8.32900428771973,0.0953101813793182,1,1
"279",92072,1,2,9,46,1,6,7,5,14975,2826.49877929688,2472.11108398438,5298.60986328125,1,0,0.25,1,0.939999997615814,9.6991024017334,6.76681566238403,6.76681566238403,6.56320381164551,1.69170391559601,40.6008949279785,92,8.57538890838623,0.0487901642918587,1,1
"280",92092,1,2,9,36,1,1,12,3,15500,3260.92846679688,1128.47924804688,4389.40771484375,1,0,0.25,1,0.939999997615814,9.6991024017334,6.76681566238403,6.76681566238403,6.56320381164551,1.69170391559601,40.6008949279785,92,8.38717746734619,0.02955880202353,1,1
"281",92112,1,2,9,42,1,0,6,3.5,11000,2459.51196289062,625.817626953125,3085.32958984375,1,1,0.25,1,0.939999997615814,9.6991024017334,6.76681566238403,6.76681566238403,6.56320381164551,1.69170391559601,40.6008949279785,92,8.0347375869751,0.0344014279544353,1,1
"282",93012,1,3,9,33,1,10,4,1,53575,3891.595703125,925.86962890625,4817.46533203125,1,0,0.559284090995789,1,0.939999997615814,10.1502237319946,7.44349718093872,6.76681566238403,6.86846923828125,1.35336315631866,40.6008949279785,93,8.48021030426025,0.00995033048093319,1,1
"283",93014,1,3,9,60,1,5,7,9,24340.234375,2537.55590820312,2556.40600585938,5093.9619140625,0,0,0.885906040668488,1,0.939999997615814,10.1502237319946,7.44349718093872,6.76681566238403,6.86846923828125,1.35336315631866,40.6008949279785,93,8.53600788116455,0.0861776992678642,1,1
"284",93015,1,3,9,62,1,5,8,334,245263.234375,3617.201171875,1729.259765625,5346.4609375,0,0,2.9530200958252,1,0.939999997615814,10.1502237319946,7.44349718093872,6.76681566238403,6.86846923828125,1.35336315631866,40.6008949279785,93,8.58437728881836,1.46787428855896,1,1
"285",93022,1,3,9,45,1,10,5,130,138860,4596.5625,1957.6396484375,6554.2021484375,0,1,0.559284090995789,1,0.939999997615814,10.1502237319946,7.44349718093872,6.76681566238403,6.86846923828125,1.35336315631866,40.6008949279785,93,8.78801441192627,0.832909107208252,1,1
"286",93024,1,3,9,29,1,0,3,11,8424.6845703125,2778.90551757812,649.163330078125,3428.06884765625,0,0,0.885906040668488,1,0.939999997615814,10.1502237319946,7.44349718093872,6.76681566238403,6.86846923828125,1.35336315631866,40.6008949279785,93,8.14004421234131,0.104360014200211,1,1
"287",93025,1,3,9,54,1,5,7,272,194627.15625,3772.01635742188,1015.02221679688,4787.03857421875,0,0,2.9530200958252,1,0.939999997615814,10.1502237319946,7.44349718093872,6.76681566238403,6.86846923828125,1.35336315631866,40.6008949279785,93,8.47387599945068,1.31372368335724,1,1
"288",93032,1,3,9,36,1,9,4,180,164310,3661.52392578125,589.55859375,4251.08251953125,1,1,0.559284090995789,1,0.939999997615814,10.1502237319946,7.44349718093872,6.76681566238403,6.86846923828125,1.35336315631866,40.6008949279785,93,8.35516452789307,1.02961945533752,1,1
"289",93034,1,3,9,66,1,0,5,40,30491.271484375,2244.01123046875,293.003173828125,2537.01440429688,0,0,0.885906040668488,1,0.939999997615814,10.1502237319946,7.44349718093872,6.76681566238403,6.86846923828125,1.35336315631866,40.6008949279785,93,7.8391375541687,0.336472243070602,1,1
"290",93035,1,3,9,48,1,10,4,510,275140,3137.095703125,1023.48095703125,4160.57666015625,0,1,2.9530200958252,1,0.939999997615814,10.1502237319946,7.44349718093872,6.76681566238403,6.86846923828125,1.35336315631866,40.6008949279785,93,8.33364963531494,1.80828881263733,1,1
"291",93054,1,3,9,66,1,2,2,20,13909.189453125,1854.107421875,218.229736328125,2072.33715820312,0,0,0.885906040668488,1,0.939999997615814,10.1502237319946,7.44349718093872,6.76681566238403,6.86846923828125,1.35336315631866,40.6008949279785,93,7.63691473007202,0.182321563363075,1,1
"292",93072,1,3,9,50,1,5,6,28,16240,1947.48950195312,427.5498046875,2375.03930664062,0,1,0.559284090995789,1,0.939999997615814,10.1502237319946,7.44349718093872,6.76681566238403,6.86846923828125,1.35336315631866,40.6008949279785,93,7.77319002151489,0.246860072016716,1,1
"293",93122,1,3,9,72,1,2,7,1,6130,2135.80029296875,281.78955078125,2417.58984375,0,1,0.559284090995789,1,0.939999997615814,10.1502237319946,7.44349718093872,6.76681566238403,6.86846923828125,1.35336315631866,40.6008949279785,93,7.79093980789185,0.00995033048093319,1,1
"294",101012,1,1,10,40,1,2,5,67,55660,3220.462890625,1132.76513671875,4353.22802734375,1,1,0.216894954442978,1,0.769999980926514,8.57129955291748,8.12017822265625,8.12017822265625,5.80004024505615,1.69170391559601,43.3076210021973,101,8.37890243530273,0.512823641300201,1,1
"295",101014,1,1,10,30,1,0,4,17,33732.578125,3196.30541992188,562.66064453125,3758.96606445312,0,0,1.72602736949921,1,0.769999980926514,8.57129955291748,8.12017822265625,8.12017822265625,5.80004024505615,1.69170391559601,43.3076210021973,101,8.23216533660889,0.157003745436668,1,1
"296",101015,1,1,10,65,0,0,6,190,81000,2912.88842773438,497.36083984375,3410.24926757812,0,1,2.92237424850464,1,0.769999980926514,8.57129955291748,8.12017822265625,8.12017822265625,5.80004024505615,1.69170391559601,43.3076210021973,101,8.13483428955078,1.06471073627472,1,1
"297",101022,1,1,10,32,1,8,4,41,41430,3323.18310546875,512.4169921875,3835.60009765625,1,1,0.216894954442978,1,0.769999980926514,8.57129955291748,8.12017822265625,8.12017822265625,5.80004024505615,1.69170391559601,43.3076210021973,101,8.25234222412109,0.343589693307877,1,1
